SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
7491,763,KOTWALI,279/337 IPC,20-Dec-20,PVT CAR,TWW,CHHATTA RAIL CHOWK RED LIGHT,SPM MARG,2020
10264,763,SEEMA PURI,279/337 IPC,15-Sep-17,PVT CAR,PED,NR METRO STATION DILSHAD GARDE,MINOR ROADS,2017
11107,763,ADARSH NAGAR,279/337 IPC,19-Nov-20,PVT CAR,TWW,OPP MAJLISH PARK METRO STN,51 NO ROAD,2020
16281,763,MANGOL PURI,279/337 IPC,19-Aug-18,UNKNOWN,PED,"INF G-81, TUDA MANDIR ROAD PH-",MINOR ROADS,2018
19398,763,MEHRAULI,279/337 IPC,25-Nov-18,TEMPO,PED,NR JAL BOARD OFFICE CHATTARPUR,MINOR ROADS,2018
24482,763,BINDA PUR,279/304 A IPC,15-Oct-17,S/C&M/C,TWW,MTRI PILAR NO 665,NAJAF GARH ROAD,2017
25799,763,UTTAM NAGAR,279/337 IPC,21-Oct-16,S/C&M/C,TWW,MR METRO PILLAR NO 653,NAJAF GARH ROAD,2016
29842,763,RAJOURI GARDEN,279/337 IPC,29-Aug-16,UNKNOWN,TWW,ESI HOSPITAL BASAI DARA PUR RA,RING ROAD,2016
8428,764,BHAJAN PURA,279/337 IPC,21-Dec-17,TSR,TWW,INF GALI NO 10 NR ELECTRIC POW,MINOR ROADS,2017
9180,764,KHAZOORI,279/304 A IPC,29-Oct-16,HTV/GDS,TWW,KHAZOORI KHAS PUSTA RD,PUSTA ROAD,2016
10210,764,SEEMA PURI,279/304 A IPC,03-Aug-16,TSR,PED,INFT DTC BUS DEPOT,MINOR ROADS,2016
16138,764,MANGOL PURI,279/337 IPC,19-Aug-18,UNKNOWN,PED,D BLOCK MANGOLPUIR,MINOR ROADS,2018
20636,764,VASANT VIHAR,279/337 IPC,23-Jul-16,PVT CAR,TSR,J.P HOSPITAL MUNIRKA MARG,MUNIRKA ROAD,2016
22514,764,LAJPAT NAGAR,279/337 IPC,30-Nov-16,S/C&M/C,PED,NEHRU NAGAR FOOTOVER BRIDGE LA,RING ROAD,2016
29261,764,PASCHIM VIHAR (WEST),279/337 IPC,28-Sep-20,UNKNOWN,TWW,UDHYOG NAGAR METRO STATION,GURU GOVIND SINGH ROAD,2020
30149,764,RANHOLA,279/337 IPC,02-Aug-20,TEMPO,PED,OPP YES FORM RANOLA,MINOR ROADS,2020
10351,765,SEEMA PURI,279/304 A IPC,20-Nov-19,HTV/GDS,PED,"APSARA BORDER,SEEMAPUR",MINOR ROADS,2019
16043,765,MANGOL PURI,279/304 A IPC,27-May-17,HTV/GDS,TWW,MANDHUBAN CHOWK TO PEERAGARHI,OUTER RING ROAD,2017
22106,765,JAIT PUR,279/337 IPC,01-Dec-18,S/C&M/C,TSR,INF HARINAGAR VILLAGE MITHAPUR,MINOR ROADS,2018
22657,765,NEB SARAI,279 IPC,13-Oct-16,TEMPO,CAR,DEVLI ROAD KHANPUR NEW DELHI,MINOR ROADS,2016
24438,765,BABA HARIDAS NAGAR,279/337 IPC,10-Aug-20,PVT CAR,TWW,INF MAIN GATE OF CRPF,NAJAF GARH ROAD,2020
26464,765,BINDA PUR,279/337 IPC,16-Oct-17,S/C&M/C,TWW,NR PEER BABA MAZAR DDA FLAT,MINOR ROADS,2017
28891,765,NIHAL VIHAR,279/304 A IPC,11-Nov-19,UNKNOWN,TWW,RISHAL GARDEN WATER PLANT KE P,MINOR ROADS,2019
29959,765,RAJOURI GARDEN,279/337 IPC,31-Dec-18,UNKNOWN,TWW,RAJDHANI COLLEGE RED LIGHT,RING ROAD,2018
9375,766,KHAZOORI,279/337 IPC,28-Sep-20,UNKNOWN,PED,PUSTA ROAD,PUSTA ROAD,2020
9793,766,NEW USHMAN PUR,279/304 A IPC,21-Sep-16,UNKNOWN,PED,4TH PUSTA USMANPUR,MINOR ROADS,2016
10352,766,SEEMA PURI,279/337 IPC,21-Nov-19,PVT CAR,PED,SEEMAPURI BUS STAND,MINOR ROADS,2019
13620,766,NARELA (OLD IND. AREA),279/304 A IPC,18-Oct-16,UNKNOWN,PED,SEC A.R.Cell AND SEC A5 CHOWK,MINOR ROADS,2016
15444,766,BEGUM PUR,279/304 A IPC,01-Oct-16,UNKNOWN,TWW,NR SEC 24*25 RED LIGHT ROHINI,RITHALA ROAD,2016
17317,766,SHAHBAD DAIRY,279/337/304 A IPC,06-Nov-17,UNKNOWN,TWW,J M INTERNATIONAL SCHOOL BARWA,MINOR ROADS,2017
25640,766,TILAK NAGAR,279/338 IPC,11-Nov-16,S/C&M/C,PED,PILLAR NO 547 MAIN RD,NAJAF GARH ROAD,2016
25846,766,UTTAM NAGAR,279/337 IPC,25-Oct-17,CTR BUS,PED,IN SIDE BUS TERMINAL,MINOR ROADS,2017
30063,766,RANHOLA,279/337 IPC,16-Oct-16,PVT CAR,TWW,NR DADA BHAIYA DHARAM KANTA RA,NAJAFGARH NANGLOI RD,2016
16602,767,PRASHANT VIHAR,279/337 IPC,20-Oct-16,S/C&M/C,TWW,INF BALAB VIHAR APPT. SEC-13 R,MINOR ROADS,2016
28892,767,NIHAL VIHAR,279/337 IPC,12-Nov-19,UNKNOWN,PED,AFJAL NAGAR CHANDAR VIHAR,MINOR ROADS,2019
9257,768,KHAZOORI,279/338 IPC,22-Dec-17,PVT CAR,PED,NR CRPF KHAZOORI KHAS,PUSTA ROAD,2017
9794,768,NEW USHMAN PUR,279/337 IPC,22-Sep-16,S/C&M/C,TWW,METRO DEPO SHASTRI PARK OPP SI,GRANT TRUNK ROAD,2016
10211,768,SEEMA PURI,279/337 IPC,05-Aug-16,UNKNOWN,PED,CGHS DISPENSARY INFT DILSAD GA,MINOR ROADS,2016
19400,768,MEHRAULI,279/337 IPC,28-Nov-18,PVT CAR,PED,INF AHINSA SATHAL MG ROAD,MEHRAULI GURGAON RD,2018
25760,768,TILAK NAGAR,279/337 IPC,03-Nov-20,UNKNOWN,PED,EAST JANAK PURI METRO STATION,NAJAF GARH ROAD,2020
26791,768,HARI NAGAR,279/337 IPC,28-Dec-16,UNKNOWN,PED,INF DASHMESH HOSPITAL HARI NAG,JAIL ROAD,2016
28831,768,NIHAL VIHAR,279/337 IPC,13-Nov-17,UNKNOWN,TWW,NR MCD SCHOOL NAJAFGARH NANGLO,NAJAFGARH NANGLOI RD,2017
14009,769,SAMAY PUR BADLI,279/337 IPC,30-Aug-17,PVT CAR,PED,INF SIRASPUR GURDWARA,GTK ROAD,2017
16603,769,PRASHANT VIHAR,279/337 IPC,21-Oct-16,PVT CAR,TWW,NR CITY CENTER RED LIGHT SEC-1,41 NO ROAD,2016
17099,769,SAMAY PUR BADLI,279/337 IPC,01-Oct-18,PVT CAR,TWW,NR NAHAR SEC 18 DELHI,MINOR ROADS,2018
17318,769,SHAHBAD DAIRY,279/337 IPC,06-Nov-17,UNKNOWN,TWW,SANSKRITI APPRTS SEC-28,MINOR ROADS,2017
19356,769,MEHRAULI,279/337 IPC,02-Oct-17,PVT CAR,PED,INFT DELHI JAL BOARD,MEHRAULI GURGAON RD,2017
24803,769,CHHAWALA,279/304 A IPC,15-Aug-20,CRANE,TWW,GOYLA DAIRY GANDA NALA,MINOR ROADS,2020
25847,769,UTTAM NAGAR,279/338 IPC,27-Oct-17,GRM.SEW,TWW,NR PILAR NO. 761,NAJAF GARH ROAD,2017
26562,769,DABRI,279/304 A IPC,17-Nov-16,HTV/GDS,CYC,INFT VATANRY HOSPITAL,MINOR ROADS,2016
13621,770,NARELA (OLD IND. AREA),279/337 IPC,19-Oct-16,S/C&M/C,PED,GONDA ROAD INF GALI NO 1 & 2,MINOR ROADS,2016
15380,770,BEGUM PUR,279/304 A IPC,24-Dec-17,HTV/GDS,PED,NR VIKAS BHARTI P SCHOOL SEC 2,MINOR ROADS,2017
22107,770,JAIT PUR,279/338 IPC,06-Dec-18,MIN.BUS,PED,JALEBI CHOWK JJ COLONY MADANPU,MINOR ROADS,2018
26478,770,BINDA PUR,279/337 IPC,11-Sep-18,PVT CAR,PED,"INDIRA PARK, UTTAM NAGAR",MINOR ROADS,2018
10212,771,SEEMA PURI,279/337 IPC,06-Aug-16,S/C&M/C,CYC,UNDER PASS APSRA BORDER,MINOR ROADS,2016
12729,771,KESHAV PURAM,279/337 IPC,30-Nov-16,PVT CAR,TWW,NR METRO PILLOR 227 KANHIYA NA,37 NO ROAD,2016
13073,771,MANGOL PURI,279/337 IPC,29-May-17,TANKER,TWW,INDL AREA PH IIND MANGOLPURI,MINOR ROADS,2017
16208,771,MANGOL PURI,279/337 IPC,08-Aug-19,PVT CAR,PED,NR PITAMPURA RD POLICE LINE,OUTER RING ROAD,2019
17319,771,SHAHBAD DAIRY,279/337 IPC,07-Nov-17,TSR,TWW,VIKRAM DHARAM KANTA,BAWANA ROAD,2017
17746,771,SULTAN PURI,279/337 IPC,27-Oct-17,UNKNOWN,TWW,NR RD PUBLIC SCHOOL SULTAN PUR,MINOR ROADS,2017
20025,771,SAKET,279/337 IPC,22-Dec-18,PVT CAR,TWW,BACK SIDE OF PVR SAKET,MINOR ROADS,2018
25567,771,NAJAFGARH,279/337 IPC,26-Aug-20,PVT CAR,TWW,FURNITURE MARKET NR MARUTI SHO,MINOR ROADS,2020
25800,771,UTTAM NAGAR,279/337 IPC,26-Oct-16,PVT CAR,TWW,NR METRO PILLOR 804 UTTAM NAGA,NAJAF GARH ROAD,2016
26479,771,BINDA PUR,279/337 IPC,12-Sep-18,PVT CAR,TWW,MATIYALA RD BAZAR CHOWK,MINOR ROADS,2018
28893,771,NIHAL VIHAR,279/337 IPC,15-Nov-19,TSR,PED,50-100 MTR AHEAD SHAMSHANG GHA,NAJAFGARH NANGLOI RD,2019
14350,772,SHALIMAR BAGH,279/337/304 A IPC,20-Dec-16,DTC BUS,TWW,METRO PIL NO 9 SHALIMAR BAGH,RING ROAD,2016
15980,772,MANGOL PURI,279/337 IPC,21-Jul-16,UNKNOWN,PED,INF Y BLOCK MASJID PARK,QUTAB GARH ROAD,2016
17320,772,SHAHBAD DAIRY,279/337 IPC,07-Nov-17,UNKNOWN,TWW,SAMOSA CHOWK DSIIDC SEC-5,BAWANA ROAD,2017
19288,772,MEHRAULI,279/337 IPC,23-Mar-16,TSR,SLF,NR RADIANS HOTEL SATBARI,MINOR ROADS,2016
25761,772,TILAK NAGAR,279/304 A IPC,05-Nov-20,S/C&M/C,PED,JANAKPURI EAST METRO STATION,NAJAF GARH ROAD,2020
28832,772,NIHAL VIHAR,279/337 IPC,14-Nov-17,PVT CAR,TWW,RISHAL GARDEN POLICE PKT NANGL,NAJAFGARH NANGLOI RD,2017
30150,772,RANHOLA,279/338/304 A IPC,08-Aug-20,UNKNOWN,TWW,NR RADAR RD GANDA NALA RANHOLA,MINOR ROADS,2020
9795,773,NEW USHMAN PUR,279/337 IPC,22-Sep-16,UNKNOWN,TWW,TWDS SHASTRI PARK TO ISBT BEFO,GRANT TRUNK ROAD,2016
14127,773,SAMAY PUR BADLI,279/337 IPC,16-Nov-20,PVT CAR,TWW,NR LIBASPUR UNDERPASS MUKARBA,GTK ROAD,2020
16267,773,MANGOL PURI,279/337 IPC,18-Sep-20,S/C&M/C,TWW,MANGOL PURI FLYOVER,OUTER RING ROAD,2020
16604,773,PRASHANT VIHAR,279/337 IPC,22-Oct-16,MIN.BUS,TWW,GATE NO 1 JANKI PARK DELHI,MINOR ROADS,2016
26614,773,DABRI,279 IPC,17-Dec-17,PVT CAR,CAR,GOLE CHAKKAR DABRI,MINOR ROADS,2017
26649,773,DABRI,279/337/304 A IPC,30-Dec-18,UNKNOWN,TWW,NR BUS STAND NALA RD VIJAY ENC,MINOR ROADS,2018
17787,774,SULTAN PURI,279/337 IPC,01-Oct-18,UNKNOWN,PED,LAKKAR MARKET SULTAN PURI,MINOR ROADS,2018
25568,774,NAJAFGARH,279/337 IPC,30-Aug-20,TEMPO,PED,NR SANTOSHI MATA MANDIR LAXMI,NAJAF GARH ROAD,2020
13315,775,MUKHERJI NAGAR,279/337 IPC,22-Aug-16,S/C&M/C,CYR,CIGRATE WALA BAGH NPL GATE NO,MINOR ROADS,2016
15981,775,MANGOL PURI,279/304 A IPC,22-Jul-16,S/C&M/C,PED,INF PATHAR MARKET MANGOLPURI,QUTAB GARH ROAD,2016
27340,775,KHAYALA,279/338 IPC,13-Aug-20,UNKNOWN,PED,SRI KRISHNA GAYAN MINDIR,MINOR ROADS,2020
9963,776,NEW USHMAN PUR,279/337 IPC,03-Oct-18,UNKNOWN,PED,SHASTRI PARK RED LIGHT,GRANT TRUNK ROAD,2018
13622,776,NARELA (OLD IND. AREA),279/337 IPC,21-Oct-16,PVT CAR,CAR,HOLAMIB MORE ALIPUR CHOWK,MINOR ROADS,2016
16268,776,MANGOL PURI,279/337 IPC,20-Sep-20,HTV/GDS,PED,"NR RAILWAY BRIDGE, MANGOLPURI",OUTER RING ROAD,2020
17227,776,SHAHBAD DAIRY,279/337 IPC,28-Oct-16,DELIVRY,TWW,80 FOOTA RD MAHDEV CHOWK,MINOR ROADS,2016
17788,776,SULTAN PURI,279/337 IPC,02-Oct-18,UNKNOWN,PED,JALEBI CHOWK SULTANPURI,MINOR ROADS,2018
22515,776,LAJPAT NAGAR,279/337 IPC,05-Dec-16,HTV/GDS,TAX,GUPTA MKT TWDS AIIMS,RING ROAD,2016
9490,777,NAND NAGRI,279/337 IPC,03-Sep-16,S/C&M/C,TWW,INF. GAGAN CINEMA NAND NAGRI,WAZIRABAD ROAD,2016
16139,777,MANGOL PURI,279/337 IPC,21-Aug-18,C.RICKW,PED,INF KALI MATA MANDIR NR Y BLOC,MINOR ROADS,2018
19460,777,MEHRAULI,279/304 A IPC,18-Nov-20,UNKNOWN,CYC,RED LIGHT CHOWK ANDHERIA MORE,MEHRAULI GURGAON RD,2020
20584,777,VASANT KUNJ SOUTH,279/337 IPC,29-Dec-20,PVT CAR,TWW,D-1 RED LIGHT VASANT KUNJ,MAHIPAL PUR ROAD,2020
28907,777,NIHAL VIHAR,279/304 A IPC,26-Jul-20,UNKNOWN,PED,NR SATYA BHAMA HOSPITAL,NAJAFGARH NANGLOI RD,2020
9964,778,NEW USHMAN PUR,279/338 IPC,04-Oct-18,HTV/GDS,TWW,3-1/2 PUSTA ROAD,MINOR ROADS,2018
10006,778,NEW USHMAN PUR,279/337/304 A IPC,23-Oct-19,HTV/GDS,TWW,ZERO PUSTA SHASHTRI PARK DELHI,MINOR ROADS,2019
11108,778,ADARSH NAGAR,279/304 A IPC,29-Nov-20,UNKNOWN,PED,NR PANCHWATI RED LIGHT,GTK ROAD,2020
17552,778,SHALIMAR BAGH,279/337 IPC,22-Dec-16,HTV/GDS,TWW,ON FLYOVER HAIDERPUR CHOWK,OUTER RING ROAD,2016
22108,778,JAIT PUR,279/337 IPC,15-Dec-18,S/C&M/C,PED,JJ COLONY MADAN PUR KHADDAR,MINOR ROADS,2018
25801,778,UTTAM NAGAR,279/337 IPC,28-Oct-16,PVT CAR,TWW,NR METRO PILLAR NO 765,NAJAF GARH ROAD,2016
26465,778,BINDA PUR,279/304 A IPC,23-Oct-17,HTV/GDS,PED,INF MCD OFFICE UTAM NAGAR,PANKHA ROAD,2017
28894,778,NIHAL VIHAR,279/304 A IPC,17-Nov-19,UNKNOWN,PED,"CHANDAR VIHAR,NR VIKASPURI PKT",MINOR ROADS,2019
9491,779,NAND NAGRI,279/337 IPC,04-Sep-16,BUS OTR,PED,INF. NAND NAGRI DEPOT OPP. SID,WAZIRABAD ROAD,2016
9965,779,NEW USHMAN PUR,279/337 IPC,04-Oct-18,DTC BUS,TWW,SHASTRI PARK ISBT,GRANT TRUNK ROAD,2018
11109,779,ADARSH NAGAR,279/337 IPC,29-Nov-20,UNKNOWN,PED,NR MAJLISH PARK METRO STN,51 NO ROAD,2020
16269,779,MANGOL PURI,279/337 IPC,21-Sep-20,UNKNOWN,PED,INF D BLOCK KALA MANDIR CINEMA,MINOR ROADS,2020
16740,779,RAJ PARK,279/337 IPC,27-Oct-19,UNKNOWN,PED,"INF F-6/235, MAIN RD SULTAN PU",MINOR ROADS,2019
17044,779,SAMAY PUR BADLI,279/337 IPC,31-Aug-17,UNKNOWN,PED,KHERA KALA VILLAGE,MINOR ROADS,2017
16140,780,MANGOL PURI,279/337 IPC,21-Aug-18,PVT CAR,TWW,F BLOCK PARKING MANGOLPURI,OUTER RING ROAD,2018
25802,780,UTTAM NAGAR,279/337 IPC,31-Oct-16,PVT CAR,PED,METRO & GOVT SCL NR NAWADA VIL,MINOR ROADS,2016
9555,781,NAND NAGRI,279/337/304 A IPC,21-Aug-17,PVT CAR,TSR,NAND NAGRI FROM DURGAPURI TO G,MINOR ROADS,2017
13623,781,NARELA (OLD IND. AREA),279/337 IPC,23-Oct-16,UNKNOWN,PED,BUDH BAZAR RD NARELA,MINOR ROADS,2016
14993,781,AMAN VIHAR,279/337 IPC,13-Aug-18,S/C&M/C,PED,"NR AONE DHARAMSHALA,KIRARI",MINOR ROADS,2018
20026,781,SAKET,279/337/304 A IPC,30-Dec-18,UNKNOWN,TWW,NR DEPSAR HOSPITAL SAKET,MEHRAULI BADARPUR RD,2018
25641,781,TILAK NAGAR,279/337 IPC,20-Nov-16,TAXI,TWW,NR METRO PILLOR NO 574 TILAK N,NAJAF GARH ROAD,2016
9796,782,NEW USHMAN PUR,279/337 IPC,28-Sep-16,BUS OTR,TWW,KHAJOORI TO SHASTIR PARK 5TH P,MINOR ROADS,2016
9966,782,NEW USHMAN PUR,279/337 IPC,06-Oct-18,HTV/GDS,TWW,OPPT. SHYAMBIR MANDIR S.PATH T,GRANT TRUNK ROAD,2018
17747,782,SULTAN PURI,279/337 IPC,05-Nov-17,TSR,SLF,FURNITURE MARKET AMAN VIHAR KI,MINOR ROADS,2017
19401,782,MEHRAULI,279/337 IPC,02-Dec-18,PVT CAR,PED,100FOOTA ROAD JAL BOARD OFFICE,MINOR ROADS,2018
26385,782,VIKAS PURI,279/304 A IPC,13-Dec-20,PVT CAR,CAR,INF BHUPENDRA SINGH NGR ELEVAT,OUTER RING ROAD,2020
28895,782,NIHAL VIHAR,279/337 IPC,18-Nov-19,PVT CAR,TWW,NR POLICE STATION INF RAMA PRO,MINOR ROADS,2019
10265,783,SEEMA PURI,279/337 IPC,28-Sep-17,HTV/GDS,PED,TOLL TAX F/O APSARA BORDER,GRANT TRUNK ROAD,2017
14848,783,AMAN VIHAR,279/304 A IPC,03-Aug-16,PVT CAR,PED,ABHIDAN VATIKA BUDH BAZAR INDE,MINOR ROADS,2016
17228,783,SHAHBAD DAIRY,279/337 IPC,01-Nov-16,PVT CAR,TWW,T POINT BAGBAR APPT. SEC-28,MINOR ROADS,2016
17748,783,SULTAN PURI,279/337 IPC,05-Nov-17,PVT CAR,TWW,SHANI BAZAR RD MORE SULTAN PUR,MINOR ROADS,2017
19289,783,MEHRAULI,279/337 IPC,25-Mar-16,UNKNOWN,TWW,NR MITAL FARM 100 FOOTA RD CHH,MINOR ROADS,2016
26466,783,BINDA PUR,279/337 IPC,24-Oct-17,S/C&M/C,PED,ARYA SAMAJ MANDIR UTTAM NAGAR,MINOR ROADS,2017
28769,783,NIHAL VIHAR,279/337 IPC,09-Oct-16,PVT CAR,ERC,AMAN PURI NIHAL VIHAR,NAJAFGARH NANGLOI RD,2016
30340,783,SAGAR PUR,279/304 A IPC,09-Oct-20,PVT CAR,TWW,INF PINK APARTMENT NASIPRU MAN,MINOR ROADS,2020
9797,784,NEW USHMAN PUR,279/337 IPC,29-Sep-16,PVT CAR,PED,INF METRO DEPO INF BUS STOP,GRANT TRUNK ROAD,2016
9967,784,NEW USHMAN PUR,279/304 A IPC,07-Oct-18,UNKNOWN,PED,"5TH PUSTA, USMANPUR",MINOR ROADS,2018
19290,784,MEHRAULI,279/337 IPC,25-Mar-16,PVT CAR,TWW,ANDHERIA MORE RED LIGHT MEHRAU,MEHRAULI GURGAON RD,2016
30341,784,SAGAR PUR,279/304 A IPC,09-Oct-20,TEMPO,TWW,NASIRPUR RD PINK APARTMENT,MINOR ROADS,2020
13624,785,NARELA (OLD IND. AREA),279/337 IPC,25-Oct-16,PVT CAR,TWW,LAMPUR ROAD BDR SE KARIB  100,MINOR ROADS,2016
14128,785,SAMAY PUR BADLI,279/337 IPC,21-Nov-20,HTV/GDS,ERC,NR SBI BANK TRANSPORT NAGAR,MINOR ROADS,2020
16545,785,NARELA (OLD IND. AREA),279/304 A IPC,26-Nov-18,S/C&M/C,PED,NEW CRPF CAMP NARELA,BAWANA ROAD,2018
19357,785,MEHRAULI,279/337 IPC,07-Oct-17,TAXI,PED,NR ROYAL APPT,MINOR ROADS,2017
24439,785,BABA HARIDAS NAGAR,279/337 IPC,15-Aug-20,CTR BUS,TWW,NR DICHAON DEPOT,NAJAFGARH NANGLOI RD,2020
11110,786,ADARSH NAGAR,279/338 IPC,02-Dec-20,UNKNOWN,TWW,INF OF PS ADRSH NAGAR,RING ROAD,2020
13316,786,MUKHERJI NAGAR,279/337 IPC,23-Aug-16,GRM.SEW,TWW,RBTB HOSPITAL KE SAMNE KINGSWA,MINOR ROADS,2016
14105,786,SAMAY PUR BADLI,279/337 IPC,13-Nov-19,UNKNOWN,PED,LIBASPUR BUS STAND,GTK ROAD,2019
20637,786,VASANT VIHAR,279/337 IPC,01-Aug-16,TAXI,TSR,INFT IP HOTEL,MUNIRKA ROAD,2016
25803,786,UTTAM NAGAR,279/337 IPC,03-Nov-16,UNKNOWN,TWW,A.3/114 DAL MILL,NAJAF GARH ROAD,2016
28833,786,NIHAL VIHAR,279/337 IPC,21-Nov-17,UNKNOWN,PED,AGARWAL CHOWK CHANDER VIHAR,MINOR ROADS,2017
29159,786,PASCHIM VIHAR (EAST),279/338 IPC,19-Dec-19,PVT CAR,PED,PASCHIMI VHR WEST METRO STN,ROHTAK ROAD,2019
10266,787,SEEMA PURI,279/337 IPC,29-Sep-17,PVT CAR,TWW,INFT DURGA PARK,MINOR ROADS,2017
16141,787,MANGOL PURI,279/337 IPC,24-Aug-18,PVT CAR,TWW,WEST ENCLAVE BUS STOP RING ROA,OUTER RING ROAD,2018
16270,787,MANGOL PURI,279/337 IPC,24-Sep-20,UNKNOWN,PED,P.S. MANGOLPURI AREA,MINOR ROADS,2020
25848,787,UTTAM NAGAR,279/338 IPC,01-Nov-17,TSR,PED,SHIV VIHAR NALA NR POLICE PKT,MINOR ROADS,2017
9181,788,KHAZOORI,279/337 IPC,15-Nov-16,TSR,PED,INF POLICE TRAINING SCL KHAJUR,PUSTA ROAD,2016
9968,788,NEW USHMAN PUR,279/337 IPC,08-Oct-18,TSR,TWW,TOWARD KHAJURI CHOWK,PUSTA ROAD,2018
13317,788,MUKHERJI NAGAR,279/337 IPC,23-Aug-16,PVT CAR,TWW,INF PARMANAND COLONY PARK,MINOR ROADS,2016
13690,788,NARELA (OLD IND. AREA),279/337 IPC,13-Oct-17,TRACTOR,TWW,NDPL OFICE KE PAS NARELA,MINOR ROADS,2017
17229,788,SHAHBAD DAIRY,279/304 A IPC,02-Nov-16,BUS OTR,TWW,DEEP VIHAR CHOWK,BAWANA ROAD,2016
22109,788,JAIT PUR,279/337 IPC,20-Dec-18,HTV/GDS,TWW,INF SHAKTI VIHAR GALIN 5 UNIVE,MINOR ROADS,2018
24804,788,CHHAWALA,279/337 IPC,29-Aug-20,UNKNOWN,PED,NR GHUMANHERA VILLAGE,GHUMAN HERA MARG,2020
26615,788,DABRI,279/337 IPC,26-Dec-17,UNKNOWN,TWW,BUS STAND SITAPURI IIND,MINOR ROADS,2017
28770,788,NIHAL VIHAR,279/337 IPC,13-Oct-16,S/C&M/C,CYC,NR SHAMSHAN GHAT,MINOR ROADS,2016
30023,788,RAJOURI GARDEN,279/337 IPC,06-Sep-20,UNKNOWN,PED,DDU HOSPITAL HARI NAGAR,MINOR ROADS,2020
9969,789,NEW USHMAN PUR,279/337 IPC,08-Oct-18,PVT CAR,TWW,SHATRI PARK RED LIGHT,GRANT TRUNK ROAD,2018
16142,789,MANGOL PURI,279/337 IPC,24-Aug-18,TEMPO,TWW,INF WEST ENCLAVE PITAMPURA,OUTER RING ROAD,2018
17061,789,SAMAY PUR BADLI,279/304 A IPC,14-Nov-19,UNKNOWN,PED,NR FACTOR NO 28 GATE NO 4 BADL,MINOR ROADS,2019
17230,789,SHAHBAD DAIRY,279/337 IPC,02-Nov-16,PVT CAR,PED,AFTER 200 METRO VIHAR SANOGROD,MINOR ROADS,2016
24440,789,BABA HARIDAS NAGAR,279/337 IPC,17-Aug-20,PVT CAR,TWW,AFTER JHARODA NALA BAHADURGADH,JHARODA ROAD,2020
26510,789,BINDA PUR,279/337 IPC,19-Jul-20,S/C&M/C,TWW,"VARDHMAN MKT, BINDAPUR",MINOR ROADS,2020
10213,790,SEEMA PURI,279/337 IPC,13-Aug-16,S/C&M/C,PED,JMI AREA NR MASJID METRO DILSH,MINOR ROADS,2016
11111,790,ADARSH NAGAR,279/337 IPC,09-Dec-20,UNKNOWN,CYC,OPP AZADPUR TERMINAL,RING ROAD,2020
24441,790,BABA HARIDAS NAGAR,279/304 A IPC,18-Aug-20,PVT CAR,PED,SHREE JEE BANQUET HALL OPP SID,JHARODA ROAD,2020
13082,791,MANGOL PURI,279/337 IPC,25-Aug-18,TEMPO,CAR,NEAR DCP OFFICE RD NO 43,ROAD NO 43,2018
13625,791,NARELA (OLD IND. AREA),279/304 A IPC,28-Oct-16,UNKNOWN,TWW,NR GANGWAL HOSPITAL NARELA SIN,MINOR ROADS,2016
22110,791,JAIT PUR,279/337 IPC,22-Dec-18,PVT CAR,TWW,"CHOKEN MANDI, FRIDAY BAZAR",MINOR ROADS,2018
24805,791,CHHAWALA,279/337 IPC,30-Aug-20,CTR BUS,CYR,KHIMI MANDIR KHAIR ARD GAO KHA,MINOR ROADS,2020
25642,791,TILAK NAGAR,279/337 IPC,27-Nov-16,UNKNOWN,TSR,NR GANESH NAGAR RED LIGHT TILA,NAJAF GARH ROAD,2016
26563,791,DABRI,279/337/338 IPC,04-Dec-16,PVT CAR,PED,"NR SBI ATM, BHARAT VIHAR RD NE",MINOR ROADS,2016
13691,792,NARELA (OLD IND. AREA),279/337 IPC,14-Oct-17,S/C&M/C,CYC,NARELA PIYAU MANIYARI RD,MINOR ROADS,2017
14106,792,SAMAY PUR BADLI,279/304 A IPC,16-Nov-19,UNKNOWN,PED,SGT NAGAR SP BADLI,GTK ROAD,2019
16271,792,MANGOL PURI,279/337 IPC,26-Sep-20,PVT CAR,TWW,"NR J BLOCK MOHALLA CLINIC, MAN",MINOR ROADS,2020
22111,792,JAIT PUR,279/337 IPC,23-Dec-18,UNKNOWN,TWW,25 PUSTA ROAD MAIN PUSTA RD,MINOR ROADS,2018
22516,792,LAJPAT NAGAR,279/304 A IPC,15-Dec-16,BUS OTR,TWW,TWDS ASHRAM OPP DAV COLLEGE NE,RING ROAD,2016
29160,792,PASCHIM VIHAR (EAST),279/337 IPC,29-Dec-19,UNKNOWN,TWW,NR GEETANJALI SHOW ROOM,MINOR ROADS,2019
10267,793,SEEMA PURI,279/337 IPC,01-Oct-17,PVT CAR,TWW,INF DURGA PARK DILSHAD GARDEN,MINOR ROADS,2017
15982,793,MANGOL PURI,279/337 IPC,30-Jul-16,TSR,SLF,ELEVATED FLYOVER PITAMPURA,OUTER RING ROAD,2016
16546,793,NARELA (OLD IND. AREA),279/337 IPC,28-Nov-18,HTV/GDS,CYC,NR.UNDERPASS DELHI HOSPITAL,MINOR ROADS,2018
24521,793,BINDA PUR,279/337 IPC,22-Jul-20,UNKNOWN,PED,"NR METRO PILAR NO, 771",NAJAF GARH ROAD,2020
