SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
4513,53,MAYUR VIHAR,279/337 IPC,24-Feb-18,S/C&M/C,CYC,T POINT SAMACHAR APPT MAYUR VI,YAMUNA PUSTA ROAD,2018
5056,53,PATPARGANJ IND. AREA,279/304 A IPC,03-Mar-20,HTV/GDS,TWW,TELCO T POINT,56 NO ROAD,2020
5122,53,PREET VIHAR,279/337 IPC,03-Feb-17,PVT CAR,TWW,PPG RD NR MAKKAR HOSPITAL DELH,PATPAR GANJ ROAD,2017
5188,53,PREET VIHAR,279/337 IPC,29-Feb-20,ERCAW,PED,INF RADHU PLACE ON PPG ROAD,MINOR ROADS,2020
5212,53,SHAKAR PUR (NEW),279/337 IPC,11-Mar-19,S/C&M/C,SLF,LAXMI NAGAR METRO STN,VIKAS MARG,2019
5278,53,VIVEK VIHAR,279/304 A IPC,24-Jan-16,PVT CAR,TWW,INF EAST END CLIB NR SURAJMAL,58 NO ROAD,2016
5561,53,CHANAKYA PURI,279/304 A IPC,22-May-17,UNKNOWN,TWW,NR CANADA HIGH COMISION,SATYA MARG,2017
5922,53,MANDIR MARG,279/337/304 A IPC,09-Jun-20,PVT CAR,TWW,R/A GPO NR ASHOKA ROAD,MINOR ROADS,2020
5945,53,NORTH AVENUE,279/337 IPC,19-Jun-16,PVT CAR,TWW,NORTH AVENUE ROAD DELHI,MINOR ROADS,2016
5968,53,NORTH AVENUE,279/337 IPC,01-Jul-17,S/C&M/C,PED,BUS STAND TK NR RML CIRCLE,TALKATORA ROAD,2017
6003,53,NORTH AVENUE,279/304 A IPC,03-Dec-19,BUS OTR,PED,NR RML HOSPITAL MTC ROAD,MINOR ROADS,2019
6102,53,PARLIAMENT STREET,279/304 A IPC,11-May-18,PVT CAR,PED,INF PATEL CHOWK,ASHOKA ROAD,2018
6151,53,SOUTH AVENUE,279/304 A IPC,16-Nov-18,UNKNOWN,PED,NR UDYOG BHAWAN R/A SUNHERI MA,MINOR ROADS,2018
6163,53,SOUTH AVENUE,279/337 IPC,04-Nov-16,PVT CAR,TWW,KUSHAK LANE CROSSING,MINOR ROADS,2016
6885,53,GULABI BAGH,279/337 IPC,30-May-18,HTV/GDS,PED,"UNDER ROAD SIDE, TRUCK MKT",MINOR ROADS,2018
7238,53,KASHMIRI GATE,279/304 A IPC,18-Feb-17,TEMPO,PED,MORI GATE GOLE CHAKKAR KASHMIR,MINOR ROADS,2017
7307,53,KOTWALI,279/337 IPC,07-Apr-17,UNKNOWN,PED,INFT JUBLEE PARK JAMNA KHADAR,RING ROAD,2017
7403,53,KOTWALI,279/337 IPC,21-Feb-19,UNKNOWN,TWW,INF VIJAY GHAT,RING ROAD,2019
7551,53,LAHORI GATE,279/304 A IPC,01-Apr-19,DTC BUS,PED,AVANTI BAI CHOWK NR BUS STAND,SPM MARG,2019
7954,53,SARAI ROHILA,279/304 A IPC,13-Feb-17,UNKNOWN,TWW,ROAD VAISNO MATA MANDIR SHSTRI,MINOR ROADS,2017
8139,53,TIMAR PUR,279/337 IPC,24-Jan-16,UNKNOWN,TWW,NR IRON BRIDGE TWS WAZIRABAD,RING ROAD,2016
8473,53,BHAJAN PURA,279/337 IPC,13-Feb-20,PVT CAR,TWW,VIJAY PARK MOUJPUR,66 NO ROAD,2020
8859,53,HARSH VIHAR,279/304 A IPC,19-Feb-17,PVT CAR,TWW,SEWA DHAM RD AGGAR PLASTIC MAN,MINOR ROADS,2017
9633,53,NAND NAGRI,279/337 IPC,12-Feb-19,UNKNOWN,PED,GTB CROSSING NAND NAGRI,MINOR ROADS,2019
10489,53,SHASTRI PARK,279/304 A IPC,15-Feb-20,UNKNOWN,PED,NR KHAZOORI FLYOVER,PUSTA ROAD,2020
10681,53,SONIA VIHAR,279/337 IPC,01-Mar-18,PVT CAR,TWW,5TH PUSTA ROAD,PUSTA ROAD,2018
10836,53,WELCOME COLONY,279/337 IPC,25-Jan-20,BUS OTR,PAS,RED LIGHT WELCOME,GRANT TRUNK ROAD,2020
11549,53,ALIPUR,279/337 IPC,24-Feb-20,UNKNOWN,PED,SAI MANDIR ALIPUR GT ROAD,GTK ROAD,2020
12107,53,BURARI,279/337 IPC,10-Feb-17,DTC BUS,PAS,NR PEPSI RD OPP WORKSHOP HIMGI,MINOR ROADS,2017
12506,53,JAHANGIR PURI,279/337/304 A IPC,21-Jan-19,TRACTOR,SLF,NR BJRM HOSPITAL,OUTER RING ROAD,2019
13896,53,RANI BAGH,279/337 IPC,29-Jan-20,TEMPO,TWW,RED LIGHT RAJA PARK,MINOR ROADS,2020
14273,53,SARASWATI VIHAR(SUBHASH PLACE),279/304 A IPC,26-Feb-19,UNKNOWN,PED,INF PUNJAB KESHRI,RING ROAD,2019
14469,53,SWAROOP NAGAR,279/337 IPC,22-Feb-17,DTC BUS,PAS,SWAROOP NGR BUS STAND,GTK ROAD,2017
14504,53,SWAROOP NAGAR,279/337 IPC,13-Feb-18,UNKNOWN,CAR,INF OF ELECTRI PILLER NO 516,GTK ROAD,2018
14718,53,WAZIRABAD,279/304 A IPC,05-Mar-19,HTV/GDS,TWW,NEAR WAZIRABAD FLYOVER,OUTER RING ROAD,2019
15425,53,BEGUM PUR,279/337 IPC,05-Feb-20,PVT CAR,TWW,"INF PLOT NO 23, BABOSA CHOWK R",MINOR ROADS,2020
15575,53,K.N.KATJU MARG,279/337 IPC,23-Feb-18,PVT CAR,PED,B-7/172 SEC 17 ROHINI,MINOR ROADS,2018
15819,53,KANJHAWALA,279/304 A IPC,15-Feb-18,S/C&M/C,TWW,MADANPUR MORE MEET VIHAR,MINOR ROADS,2018
16664,53,PRASHANT VIHAR,279/337 IPC,26-Feb-19,PVT CAR,TWW,SEC 14 ROHNI,MINOR ROADS,2019
17159,53,SHAHBAD DAIRY,279/337/304 A IPC,16-Jan-16,PVT CAR,TWW,HOLAMBI KALAN MORE NR JAL BORD,MINOR ROADS,2016
18343,53,FATEHPUR BERI,279/337 IPC,05-Feb-19,UNKNOWN,PED,MANDI CUT NR PETROL PUMP,MEHRAULI GURGAON RD,2019
18457,53,HAUZ KHAS,279/337 IPC,02-Feb-17,PVT CAR,TWW,NR S L HOUSE MALVIYA NAGAR DEL,PANCHSHEEL MARG,2017
19097,53,LODHI COLONY,279/337 IPC,18-May-18,UNKNOWN,PED,LODI ROAD,LODI ROAD,2018
19223,53,MALVIYA NAGAR,279/337 IPC,02-Feb-17,PVT CAR,CAR,INFT SL HOUSE,MINOR ROADS,2017
19250,53,MALVIYA NAGAR,279/337 IPC,25-Feb-19,S/C&M/C,SLF,INF MOTHER INTERNATIONAL INTER,MINOR ROADS,2019
20065,53,SAKET,279/337 IPC,08-Feb-20,DTC BUS,TWW,U TURN MB RD NR CNG,MEHRAULI BADARPUR RD,2020
20099,53,SAROJNI NAGAR,279/337 IPC,09-Mar-17,PVT CAR,TWW,INA METRO STN,AUROBINDO MARG,2017
20203,53,TIGRI,279/337 IPC,21-Feb-19,UNKNOWN,PED,INF OFFICE CAMBRIDGE,MINOR ROADS,2019
20344,53,VASANT KUNJ NORTH,279/337 IPC,05-Mar-19,PVT CAR,PED,MAHIPALPUR CHOWK,MAHIPAL PUR ROAD,2019
20353,53,VASANT KUNJ NORTH,279/304 A IPC,24-Feb-20,TRL/CON,PED,MAHIPAL BYPASS ROAD,MAHIPAL PUR ROAD,2020
20367,53,VASANT KUNJ SOUTH,279/304 A IPC,18-Jan-16,TEMPO,TRC,NR VASANT AQUARE MALL B-1 TAXI,MAHIPAL PUR ROAD,2016
21437,53,DR AMBEDKAR NAGAR,279/337 IPC,25-Jan-18,PVT CAR,TWW,NR BIRLA VIDYA NIKEDAN,MINOR ROADS,2018
21734,53,GREATER KAILASH,279/337 IPC,20-Mar-17,PVT CAR,CYC,BRT ARCHANA RED LIGHT,MINOR ROADS,2017
22237,53,KALINDI KUNJ,279/337 IPC,31-Jan-19,PVT CAR,TWW,NR REDLIGHT K KUNG,13 NO ROAD,2019
22524,53,LAJPAT NAGAR,279/337 IPC,04-Feb-17,PVT CAR,PED,NR PGDAV CLG NEHRU NGR,MINOR ROADS,2017
23188,53,PUL PRAHLAD PUR,279 IPC,06-Mar-16,HTV/GDS,CAR,SURAJ KUND RE DLIGHT PUL PRAHL,MINOR ROADS,2016
23378,53,PUL PRAHLAD PUR,279/338 IPC,11-Mar-17,UNKNOWN,PED,NR KAYAMAYA MANDIR,MEHRAULI BADARPUR RD,2017
24682,53,CHHAWALA,279/338 IPC,07-Feb-18,CRANE,PED,NR GHUMAN HERA,GHUMAN HERA MARG,2018
24930,53,JAFFAR PUR,279/337 IPC,14-Mar-17,UNKNOWN,CAR,INF NARESH SHOKEEN VATIKA SAM,MINOR ROADS,2017
25056,53,KAPASHERA,279/337 IPC,21-Feb-16,UNKNOWN,TWW,NR POLL NO 175 OBEROI FARM NEW,MINOR ROADS,2016
25140,53,KAPASHERA,279/337 IPC,16-Feb-17,TAXI,TWW,PALAM VIHAR RD NR MCD TOLL,MINOR ROADS,2017
25325,53,KAPASHERA,279/337 IPC,02-Feb-20,TEMPO,CAR,BAMNOLI MORE NAJAFGARH KAPSAHE,KAPASHERA ROAD,2020
25615,53,TILAK NAGAR,279/337 IPC,11-Jan-16,PVT CAR,TWW,INF AMAR LEELA HOSPITAL TILAK,NAJAF GARH ROAD,2016
26973,53,INDER PURI,279/337 IPC,13-Mar-17,S/C&M/C,PED,NR A BLK INDER PURI DELHI,DEV PARKASH SHASTRI ROAD,2017
27659,53,MIANWALI,279/304 A IPC,28-Feb-18,HTV/GDS,PED,J-9 UDYOG NAGAR PEERGARHI,MINOR ROADS,2018
28541,53,NANGLOI,279/337 IPC,18-Jan-20,PVT CAR,TWW,OPP LOKESH CINEMA,GURU GOVIND SINGH ROAD,2020
28602,53,NARAINA,279/338 IPC,01-Apr-17,PVT CAR,PED,INF BIKANER SWEETS TWS SHADI P,MINOR ROADS,2017
28840,53,NIHAL VIHAR,279/337 IPC,29-Jan-18,PVT CAR,PED,AMAN PURI RD INF NANGLOI,NAJAFGARH NANGLOI RD,2018
29683,53,PUNJABI BAGH,279/337 IPC,17-Jan-20,S/C&M/C,PED,CEMENT SIDDING SHAKURPUR BASTI,MINOR ROADS,2020
