FIR.No.,PS_Name,Date.of.crash,Victim_user_type,Responsible.road.user
504,JAHANGIR PURI,05-Oct-20,Pedestrian,Unknown
524,JAHANGIR PURI,20-Oct-20,MTW,Unknown
529,JAHANGIR PURI,23-Oct-20,Truck/Tractor,Unknown
631,JAHANGIR PURI,12-Nov-20,Pedestrian,Unknown
688,JAHANGIR PURI,22-Dec-20,MTW,Unknown
318,JAHANGIR PURI,16-Jun-20,Pedestrian,Unknown
443,JAHANGIR PURI,16-Sep-20,MTW,Unknown
500,JAHANGIR PURI,02-Oct-20,Car,Truck/Tractor
503,JAHANGIR PURI,04-Oct-20,Pedestrian,Car
576,KESHAV PURAM,09-Oct-20,MTW,MTW
601,KESHAV PURAM,26-Oct-20,MTW,MTW
646,KESHAV PURAM,11-Dec-20,Pedestrian,Unknown
47,MAHENDRA PARK,09-Feb-20,MTW,Unknown
546,MAHENDRA PARK,06-Oct-20,Pedestrian,Unknown
557,MAHENDRA PARK,13-Oct-20,MTW,Truck/Tractor
558,MAHENDRA PARK,14-Oct-20,MTW,Truck/Tractor
593,MAHENDRA PARK,05-Nov-20,Pedestrian,Unknown
506,MAHENDRA PARK,06-Sep-20,MTW,Unknown
535,MAHENDRA PARK,28-Sep-20,Pedestrian,Unknown
648,MAHENDRA PARK,24-Nov-20,M3W,Truck/Tractor
5,MAHENDRA PARK,05-Jan-20,Pedestrian,Car
616,MANGOL PURI,05-Jul-20,Bicycle,Unknown
705,MANGOL PURI,13-Aug-20,Pedestrian,Unknown
86,MUKHERJI NAGAR,09-Feb-20,MTW,Unknown
303,MUKHERJI NAGAR,28-Apr-20,Bicycle,Unknown
494,"NARELA (IND. AREA)",19-Sep-20,Pedestrian,Truck/Tractor
74,"NARELA (IND. AREA)",09-Feb-20,MTW,Unknown
150,"NARELA (IND. AREA)",17-Mar-20,Pedestrian,Unknown
169,"NARELA (IND. AREA)",26-Mar-20,MTW,Truck/Tractor
413,"NARELA (IND. AREA)",13-Aug-20,Pedestrian,Unknown
76,"NARELA (OLD IND. AREA)",15-Feb-20,Self,Unknown
212,"NARELA (OLD IND. AREA)",15-May-20,Pedestrian,Car
220,"NARELA (OLD IND. AREA)",29-May-20,MTW,Truck/Tractor
231,"NARELA (OLD IND. AREA)",14-Jun-20,Pedestrian,Car
272,"NARELA (OLD IND. AREA)",19-Jul-20,MTW,Unknown
73,RANI BAGH,21-Feb-20,Self,Unknown
77,RANI BAGH,24-Feb-20,MTW,MTW
618,RANI BAGH,02-Dec-20,Pedestrian,Unknown
383,SAMAY PUR BADLI,14-Jun-20,MTW,MTW
419,SAMAY PUR BADLI,04-Jul-20,Pedestrian,Unknown
630,SAMAY PUR BADLI,01-Oct-20,MTW,Truck/Tractor
664,SAMAY PUR BADLI,07-Oct-20,Pedestrian,Truck/Tractor
798,SAMAY PUR BADLI,24-Nov-20,MTW,Truck/Tractor
833,SAMAY PUR BADLI,16-Dec-20,Pedestrian,Unknown
129,SARASWATI VIHAR(SUBHASH PLACE),08-Mar-20,Other,Unknown
157,SARASWATI VIHAR(SUBHASH PLACE),31-Mar-20,Pedestrian,Unknown
325,SARASWATI VIHAR(SUBHASH PLACE),25-Jun-20,Pedestrian,Car
314,AMAN VIHAR,13-Jul-20,Pedestrian,Truck/Tractor
66,BAWANA,31-Jan-20,Pedestrian,Truck/Tractor
222,BAWANA,13-Apr-20,,Car
222,BAWANA,13-Apr-20,,Car
279,BEGUM PUR,08-Sep-20,Pedestrian,Other
201,K.N.KATJU MARG,30-Jun-20,,Car
201,K.N.KATJU MARG,30-Jun-20,,Car
18,KANJHAWALA,14-Jan-20,MTW,Truck/Tractor
526,MANGOL PURI,12-May-20,,Truck/Tractor
526,MANGOL PURI,12-May-20,,Truck/Tractor
63,"NARELA (IND. AREA)",29-Jan-20,Pedestrian,Car
545,SHAHBAD DAIRY,25-Oct-20,Pedestrian,Car
256,HAZRAT NIZAMUDDIN,06-Sep-20,Self,Car
289,HAZRAT NIZAMUDDIN,26-Sep-20,Bicycle,Car
71,LAJPAT NAGAR,25-Feb-20,Car,M3W
23,R.K. PURAM,18-Jan-20,Pedestrian,Car
549,R.K. PURAM,05-Aug-20,Other,M3W
53,VASANT KUNJ NORTH,24-Feb-20,Pedestrian,Truck/Tractor
8,AMAR COLONY,09-Jan-20,Car,Truck/Tractor
367,LAJPAT NAGAR,07-Oct-20,Car,Truck/Tractor
367,LAJPAT NAGAR,07-Oct-20,Car,Truck/Tractor
211,SHAHEEN BAGH,07-Sep-20,Pedestrian,Car
911,BABA HARIDAS NAGAR,06-Nov-20,Self,Car
166,JAFFAR PUR,10-Aug-20,Truck/Tractor,Other
166,JAFFAR PUR,10-Aug-20,Truck/Tractor,Other
521,KAPASHERA,04-Dec-20,,
521,KAPASHERA,04-Dec-20,,
366,MOHAN GARDEN,08-May-20,MTW,Truck/Tractor
444,VIKAS PURI,06-Jun-20,MTW,Unknown
444,VIKAS PURI,06-Jun-20,MTW,Unknown
188,ANAND PARBAT,06-Aug-20,,
34,MUNDKA,17-Feb-20,MTW,Truck/Tractor
34,MUNDKA,17-Feb-20,,
274,MUNDKA,06-May-20,,Car
274,MUNDKA,06-May-20,,Car
1000,"NANGLOI",03-Oct-20,MTW,Other
1000,"NANGLOI",03-Oct-20,,
274,MUNDKA,06-May-20,,Car
