S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
67,475,DWARKA,25-Nov-20,18:15,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Other,0,1,42,Male,,,,,,,,52,Male,NR CHITRKOOT APPARTMENT,MINOR ROADS,28.580553,77.052265,0,1,
68,491,DWARKA,06-Dec-20,14:40,Bus,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,Male,NEXA SHOWROOM SEC 21 DWARKA,MINOR ROADS,28.551926,77.056965,0,1,
69,498,DWARKA,12-Dec-20,23:05,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,NR BUSTER PUMP SECT 20,MINOR ROADS,28.5702,77.052334,0,1,Hit and run
70,96,DWARKA,03-Mar-20,11:20,Heavy vehicles,TWW,0,0,0,0,Heavy vehicles,0,1,22,Male,Passenger,,,,,,,25,Male,DELHI AVIATION FUEL FACILITY,MINOR ROADS,28.560529,77.074937,0,1,
71,488,DWARKA,03-Dec-20,20:45,UNKNOWN,TNG,0,0,0,1,,0,0,32,Male,Driver,,,,,,,,,B/W GALI NO 4 AND 5 SHAHBAD MO,MINOR ROADS,28.557135,77.067044,0,1,Hit and run
72,75,DWARKA NORTH,13-Feb-20,10:00,Other,Pedestrians,0,0,0,0,Handcart,0,1,25,Male,Driver,,,,,,,,Male,"SEC-4, DWARKA RED LIGHT",MINOR ROADS,28.603367,77.055927,0,1,
73,90,DWARKA NORTH,26-Feb-20,09:00,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,70,Female,Pedestrian,,,,,,,,Male,INF SEWAK PARK GATE,201 NO.ROAD,28.61786,77.031889,0,1,
74,217,DWARKA NORTH,23-Apr-20,00:00,UNKNOWN,TWW,0,1,0,0,,0,0,28,Male,Pedestrian,,,,,,,,,NSUT COLLEGE OPP PNB BANK DWAR,201 NO.ROAD,28.611921,77.03378,0,1,Hit and run
75,249,DWARKA NORTH,11-May-20,21:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,,,,,,,,,,,Male,OPP PARTY JUNCTION VATIKA NSUT,201 NO.ROAD,28.611312,77.033875,0,1,
76,251,DWARKA NORTH,07-May-20,21:30,UNKNOWN,TWW,0,1,0,0,,0,0,38,Male,Pedestrian,,,,,,,,,NR AAKASH HOSPITAL SEC 3 DWARK,201 NO.ROAD,28.6046,77.053853,0,1,Hit and run
77,414,DWARKA NORTH,11-Aug-20,00:48,UNKNOWN,Pedestrians,0,0,0,1,,0,0,26,Male,Driver,,,,,,,,,DWARKA SEC 3/13 RED LIGHT,201 NO.ROAD,28.601781,77.042156,0,1,Hit and run
78,461,DWARKA NORTH,16-Sep-20,22:00,Auto-rickshaw- TSR,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,25,Male,OLD PALAM ROAD NR MCD OFC,PALAM ROAD,28.619083,77.024989,0,1,
79,486,DWARKA NORTH,01-Oct-20,07:00,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Bicycle,0,1,28,Male,Cyclist,,,,,,,,,OPP NATIONAL LAWUNIVERSITY,201 NO.ROAD,28.598478,77.023524,0,1,
80,564,DWARKA NORTH,02-Nov-20,16:00,Motorised two wheeler,TWW,0,0,1,1,,0,0,35,Female,Passenger,,,,,,,,,"SEC=-14 NR METRO STN, CNG PUNP",201 NO.ROAD,28.605362,77.0276,1,1,
81,622,DWARKA NORTH,01-Dec-20,11:40,Motorised two wheeler,TWW,0,0,1,1,,0,0,21,Male,,,,,,,,,,NR MCD SCHOOLKAKROLA VILL,MINOR ROADS,28.605856,77.019286,1,1,
82,639,DWARKA NORTH,12-Dec-20,00:10,UNKNOWN,Pedestrians,0,0,0,1,,0,0,35,Male,Driver,,,,,,,,,NR ODISHA SADAN SEC 16B DWARKA,MINOR ROADS,28.603841,77.013324,0,1,Hit and run
83,66,DWARKA SOUTH,13-Feb-20,07:50,UNKNOWN,Pedestrians,0,1,0,0,,0,0,35,Male,Pedestrian,,,,,,,,,NR PALAM FLYOVER,DWARAKA FLYOVER ROAD,28.593424,77.081028,0,1,Hit and run
84,106,DWARKA SOUTH,18-Mar-20,09:45,Bus,Self,0,1,0,0,Bus,14,0,,,Pedestrian,,,,,,,,,INF AIRFORCE APPTT SEC 7 DWARK,MINOR ROADS,28.585671,77.066428,14,1,
85,242,DWARKA SOUTH,28-Jun-20,14:00,Motorised two wheeler,Cyclists,0,0,1,1,,0,0,,Male,,,,,,,,32,Male,MADHU VIHAR DWARKA,201 NO.ROAD,28.599401,77.062082,1,1,
86,354,DWARKA SOUTH,30-Aug-20,17:10,Motorised two wheeler,Self,0,0,0,0,Bicycle,0,1,59,Male,Cyclist,,,,,,,,,BUDH VIHAR APT SEC 10 DWARKA,MINOR ROADS,28.58736,77.060225,0,1,
87,355,DWARKA SOUTH,31-Aug-20,03:00,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Car/ Jeep/ Van/ Taxi,1,1,40,Male,Driver,,,,,,,40,Male,INF MAHARAJA AGARSEN HOSPITAL,201 NO.ROAD,28.593443,77.077832,1,1,
88,566,DWARKA SOUTH,13-Dec-20,12:45,UNKNOWN,Pedestrians,0,0,0,1,,0,0,70,Male,Driver,,,,,,,,,NRSECT6/10 REDLIGHT,MINOR ROADS,28.587379,77.060272,0,1,Hit and run
89,18,I.G.I AIR PORT-I,06-Jan-20,17:45,Car/ Jeep/ Van/ Taxi,Self,0,0,0,0,Bicycle,0,1,25,Male,Cyclist,,,,,,,,Male,NEAR CARGO GATE NO. 6,MINOR ROADS,28.552971,77.104149,0,1,
90,146,I.G.I AIR PORT-I,17-Jun-20,Unknown,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,OPP NEW CUSTOM HOUSE,MINOR ROADS,28.552735,77.10202,0,1,Hit and run
91,5,VASANT KUNJ NORTH,06-Jan-20,23:55,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,MAHIPAL PUR FLYOVER,NH-8,28.544294,77.119773,0,1,Hit and run
92,99,VASANT KUNJ SOUTH,29-Jan-20,22:20,UNKNOWN,Pedestrians,0,0,0,1,,0,0,26,Male,Driver,,,,,,,,,"REDISSION HOTEL, U/ RANGPURI",NH-8,28.543829,77.119329,0,1,Hit and run
93,492,VASANT KUNJ SOUTH,19-Jul-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,RANGPURI ROUND ABT MAHIPALPUR,NH-8,28.542952,77.118059,0,1,Hit and run
94,577,VASANT KUNJ SOUTH,04-Sep-20,22:30,UNKNOWN,TWW,0,1,0,0,,0,0,40,Male,Pedestrian,,,,,,,,,NR SHIV MURTI MAHIPALPUR,NH-8,28.535763,77.112383,0,1,Hit and run
95,636,VASANT KUNJ SOUTH,03-Oct-20,14:15,Heavy vehicles,Self,0,0,1,1,,0,0,,Male,,,,,,,,,,NR MAHIPAL PUR FLYOVER,NH-8,28.553364,77.131715,1,1,
96,10,ANAND VIHAR,08-Jan-20,22:45,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,31,Male,Driver,,,,,,,31,Male,KKD METRO STN,MAHARAJA SURAJMAL ROAD,28.653895,77.297431,0,1,
97,30,ANAND VIHAR,20-Jan-20,Unknown,Motorised two wheeler,TWW,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,,ANAND VIHAR FLYOVER,56 NO ROAD,28.659247,77.319876,0,1,
98,31,ANAND VIHAR,21-Jan-20,00:30,UNKNOWN,TWW,0,0,0,1,,0,0,24,Male,Driver,,,,,,,,,NEAR VIGYAN VIHAR RED LIGHTAPT,MINOR ROADS,28.659827,77.313957,0,1,Hit and run
99,159,ANAND VIHAR,09-May-20,Unknown,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,28,Male,Driver,,,,,,,,Male,RISHAB VIHAR MKT CHOWK ANAND I,58 NO ROAD,28.652877,77.302684,0,1,
100,205,ANAND VIHAR,27-Jun-20,00:00,UNKNOWN,TWW,0,1,0,0,,0,0,40,Male,Pedestrian,,,,,,,,,NR METRO MALL FOOTPATH KARKARD,MINOR ROADS,28.66138,77.296264,0,1,Hit and run
101,312,FARSH BAZAR,30-Jul-20,01:10,UNKNOWN,Self,0,0,0,1,,0,0,40,Male,Driver,,,,,,,,,NR BANSAL HALWAI MAIN ROAD,MINOR ROADS,28.670009,77.292071,0,1,Hit and run
102,40,GAJI PUR,31-Jan-20,10:13,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,23,Male,Self,,,,,,,,,NR BUS STAND PAPER MKT,MINOR ROADS,28.617187,77.339774,0,1,
103,213,GAJI PUR,21-May-20,23:00,Car/ Jeep/ Van/ Taxi,TWW,0,1,0,0,,0,0,30,Male,Pedestrian,,,,,,,,,NR INDIAN OIL P/PUMP,MINOR ROADS,28.625242,77.332524,0,1,
104,328,GAJI PUR,25-Aug-20,13:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,1,1,,0,0,,Male,,,,,,,,,,"GAZIPUR FLYOVER, NR TOLL TAX",NH-24,28.629305,77.32364,1,1,
105,330,GAJI PUR,27-Aug-20,Unknown,UNKNOWN,TWW,0,1,0,0,,0,0,21,Female,Pedestrian,,,,,,,,,MURGA MANDI RD GAJIPUR,NH-24,28.630311,77.327696,0,1,Hit and run
