S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
885,314,SUNLIGHT COLONY,26-Sep-20,16:20,UNKNOWN,TWW,0,0,1,1,,0,0,22,Male,Passenger,0,,,,,,,,TWDS AKSHARDHAM SARAI KALE KHA,RING ROAD,28.600147,77.260786,1,1,Hit and run
886,317,SUNLIGHT COLONY,28-Sep-20,16:52,Auto-rickshaw- TSR,TWW,0,0,2,1,,0,0,,Male,,0,,,,,,,,INF MILLENIUM DEPOT SARAI KALE,NH-24,28.603698,77.253985,2,1,
887,346,SUNLIGHT COLONY,17-Oct-20,18:50,Bus,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,S.K.K FLY OVER TOWARDS ITO,RING ROAD,28.508294,77.255336,0,1,
888,138,BABA HARIDAS NAGAR,21-Feb-20,22:00,UNKNOWN,TWW,0,0,0,1,,0,0,45,Male,Driver,0,,,,,,,,INF MCD PARK VPO DHICHAUN KALA,MINOR ROADS,28.64296,76.986844,0,1,Hit and run
889,181,BABA HARIDAS NAGAR,17-Mar-20,14:00,Motorised two wheeler,TWW,0,0,1,1,,0,0,,Male,,0,,,,,,,,NR SAINIK ENCLAVE PART 2,JHARODA ROAD,28.634209,76.963345,1,1,
890,225,BABA HARIDAS NAGAR,29-Mar-20,21:04,UNKNOWN,TWW,0,0,0,1,,0,0,28,Male,Driver,0,,,,,,,,NR PS BHN SARSWATI KUNJ,JHARODA ROAD,28.630039,76.965902,0,1,Hit and run
891,277,BABA HARIDAS NAGAR,05-Apr-20,16:11,Motorised two wheeler,Self,0,0,0,1,,0,0,,Male,,0,,,,,,,,NR AUXILIUM CONVENT SCHOOL MIT,MINOR ROADS,28.60803,76.94738,0,1,
892,327,BABA HARIDAS NAGAR,15-Apr-20,22:30,UNKNOWN,TWW,0,0,0,1,,0,0,50,Male,Driver,0,,,,,,,,INF ANAJ MANDI MAHABANKI DHARM,MINOR ROADS,28.919818,76.973437,0,1,Hit and run
893,552,BABA HARIDAS NAGAR,17-Jun-20,08:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,,Female,Pedestrian,0,,,,,,,,NR SABZI MANDI NAJAFGARH,NAJAF GARH ROAD,28.61454,76.97506,0,1,
894,790,BABA HARIDAS NAGAR,18-Aug-20,04:45,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,57,Male,Driver,0,,,,,,,,SHREE JEE BANQUET HALL OPP SID,JHARODA ROAD,28.61658,76.975333,0,1,
895,806,BABA HARIDAS NAGAR,24-Aug-20,16:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,,KHOHWALA DHARMKANTA NAJAFGARG,DANSHA ROAD,28.615434,76.976574,0,1,Hit and run
896,848,BABA HARIDAS NAGAR,20-Sep-20,09:55,UNKNOWN,TWW,0,0,0,1,,0,0,,Female,,0,,,,,,,,INF PTC GATE JHARODA TO NAJAFG,JHARODA ROAD,28.64245,76.958461,0,1,Hit and run
897,911,BABA HARIDAS NAGAR,06-Nov-20,23:39,Car/ Jeep/ Van/ Taxi,Self,0,0,0,1,,0,0,30,Male,Driver,0,,,,,,,,DASA RD NANAK PIAU,MINOR ROADS,28.622518,76.98455,0,1,
898,935,BABA HARIDAS NAGAR,14-Nov-20,00:10,Motorised two wheeler,Self,0,0,0,1,,0,0,25,Male,Self,0,,,,,,,,NR DHICHAON DEPOT,MINOR ROADS,28.6501,76.955032,0,1,
899,971,BABA HARIDAS NAGAR,22-Nov-20,07:28,Motorised two wheeler,Self,0,0,0,1,,0,0,28,Male,Self,0,,,,,,,,JHARODA VILLAGE GOVT SCHOOL KE,NAJAF GARH ROAD,28.649224,76.9545,0,1,
900,993,BABA HARIDAS NAGAR,06-Dec-20,22:42,Motorised two wheeler,Self,0,0,0,1,,0,0,19,Male,Self,0,,,,,,,,NR BH SALWAS HOSPITAL,JHARODA ROAD,28.626405,76.96836,0,1,
901,310,BINDA PUR,31-Mar-20,14:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,56,Male,Pedestrian,0,,,,,,,,BETWEEN NAWADA TO DWARKA MORE,NAJAF GARH ROAD,28.610023,77.034317,0,1,Hit and run
902,1189,BINDA PUR,13-Dec-20,00:50,Tempo/ Tractor,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,Male,M PILLER NO 691 N/R BANK OF BA,NAJAF GARH ROAD,28.62169,77.055107,0,1,
903,121,CHHAWALA,28-Jan-20,14:30,UNKNOWN,TWW,0,1,0,0,,0,0,44,Male,Pedestrian,0,,,,,,,,MAIN JHTIKRA ROAD NR DAULAT PU,MINOR ROADS,28.547847,76.957326,0,1,Hit and run
904,146,CHHAWALA,08-Feb-20,00:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,,INF OF POLICE STATION CHHAWLA,MINOR ROADS,28.586612,76.994677,0,1,Hit and run
905,149,CHHAWALA,09-Feb-20,15:22,Motorised two wheeler,TWW,0,0,0,1,,0,0,20,Male,Self,0,,,,,,20,Male,NR BILDING MATERIAL SUPPLIER,MINOR ROADS,28.581996,77.015164,0,1,
906,187,CHHAWALA,03-Mar-20,12:14,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,,NR RADHA KRISHNA MINDER,CHHAWLA ROAD,28.559452,77.002977,0,1,Hit and run
907,211,CHHAWALA,14-Mar-20,10:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Female,Pedestrian,0,,,,,,,,GUMEN HERA ROAD,MINOR ROADS,28.558312,76.936164,0,1,Hit and run
908,228,CHHAWALA,23-Mar-20,19:00,Tempo/ Tractor,TWW,0,0,1,1,,0,0,34,Male,Driver,0,,,,,,,Male,JHATIKAR TO BADU NR SHAMSHAN G,MINOR ROADS,28.530554,76.98663,1,1,
909,300,CHHAWALA,08-Apr-20,22:23,UNKNOWN,Pedestrians,0,1,0,0,,0,0,0,Male,Pedestrian,0,,,,,,,,NR KIKAR STAND GOYALA DAIRY,MINOR ROADS,28.57858,77.028182,0,1,Hit and run
910,536,CHHAWALA,22-May-20,12:03,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,54,Male,Driver,0,,,,,,,,CROSSING DAULATPUR& HASNPUR,MINOR ROADS,28.549177,76.953136,0,1,
911,572,CHHAWALA,01-Jun-20,19:15,Car/ Jeep/ Van/ Taxi,Self,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,39,Female,Passenger,,,,,,,,Male,GOYLA DIARY NAJAFGARH,MINOR ROADS,28.560728,77.021295,0,1,
912,769,CHHAWALA,15-Aug-20,11:30,Heavy vehicles,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,GOYLA DAIRY GANDA NALA,MINOR ROADS,28.58327,77.020421,0,1,
913,811,CHHAWALA,14-Sep-20,23:15,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,JHABKAR VILL,MINOR ROADS,28.521341,76.96465,0,1,Hit and run
914,847,CHHAWALA,01-Oct-20,19:00,Motorised two wheeler,TWW,0,0,0,1,,0,0,32,Male,Driver,0,,,,,,,,CHHAWALA VILLAGE TWDS DWARKA N,CHHAWLA ROAD,28.546408,77.009812,0,1,
915,901,CHHAWALA,11-Nov-20,00:00,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,NR GOYLA VILLAGE MORE,MINOR ROADS,28.577131,77.041094,0,1,Hit and run
916,935,CHHAWALA,22-Nov-20,05:11,UNKNOWN,Car,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,,Male,Driver,0,,,,,,,,SHOKEEN PROPERTY CHAWLA GURGAO,BIJWASAN ROAD,28.572288,76.997586,0,1,Hit and run
917,1001,CHHAWALA,23-Dec-20,09:30,Tempo/ Tractor,TWW,0,0,0,1,,0,0,26,Male,Driver,0,,,,,,,,JHATIKRA RD BADUSARIA T POINT,MINOR ROADS,28.516737,76.971331,0,1,
918,1004,CHHAWALA,24-Dec-20,12:10,Motorised two wheeler,Self,0,0,1,1,,0,0,17,Male,Driver,0,,,,,,,,NR JIVAN ASHRAM CHHATRAWAS,MINOR ROADS,28.577874,76.996508,1,1,
919,1005,CHHAWALA,25-Dec-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,30,Male,Pedestrian,0,,,,,,,,OP BSF CAMP NAJAFGARH BIJWASAN,BIJWASAN ROAD,28.550053,77.008254,0,1,Hit and run
920,27,JAFFAR PUR,26-Jan-20,22:09,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,"NR DEVER KHANA NAKA, DANSHA",MINOR ROADS,28.561138,76.846734,0,1,Hit and run
921,41,JAFFAR PUR,16-Feb-20,09:33,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,RAWTA NALA TO DRAIN NO 8 DHANS,DANSHA ROAD,28.599592,76.911352,0,1,Hit and run
922,135,JAFFAR PUR,09-Jun-20,02:10,Car/ Jeep/ Van/ Taxi,Self,0,0,0,0,Car/ Jeep/ Van/ Taxi,1,1,32,Male,Driver,0,,,,,,,,NR PWD POL NO 265 RAWTA MORE D,DANSHA ROAD,28.599946,76.913353,1,1,
923,148,JAFFAR PUR,01-Jul-20,08:45,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,62,Male,Pedestrian,0,,,,,,34,Male,NAJAFGARH DHANSA ROAD,MINOR ROADS,28.573804,76.877148,0,1,
924,151,JAFFAR PUR,03-Jul-20,03:55,Tempo/ Tractor,Car,0,0,0,0,Car/ Jeep/ Van/ Taxi,2,2,36,Male,Passenger,28,Male,Passenger,,,,31,Male,NEAR SAMASPUR VILLAGE,MINOR ROADS,28.575198,76.908826,2,2,
925,164,JAFFAR PUR,31-Jul-20,11:30,Tempo/ Tractor,TWW,0,0,0,1,,0,0,26,Male,Driver,0,,,,,,,,NR DARYAPUR JHULJHULI VILLAGE,MINOR ROADS,28.536578,76.910043,0,1,
926,166,JAFFAR PUR,10-Aug-20,01:00,Tempo/ Tractor,Self,0,0,0,0,Tempo/ Tractor,0,2,38,Male,Passenger,22,Male,Passenger,,,,,,NR KOTDA ISAPUR MOD,MINOR ROADS,28.60009,76.91567,0,2,
927,182,JAFFAR PUR,05-Sep-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,0,Male,Pedestrian,0,,,,,,,,NR DHANSA VILLAGE,DANSHA ROAD,28.566077,76.892387,0,1,Hit and run
928,209,JAFFAR PUR,13-Oct-20,20:20,Bus,TWW,0,0,0,1,,0,0,30,Male,Driver,0,,,,,,,,ISHAPUR PHIRNI RD CROSSING DAD,MINOR ROADS,28.581883,76.870073,0,1,
929,210,JAFFAR PUR,17-Oct-20,09:00,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,NR MIDFIELD SCHOOLJAFFARPUR,NAJAF GARH ROAD,28.591229,76.878585,0,1,Hit and run
930,222,JAFFAR PUR,17-Nov-20,17:30,Car/ Jeep/ Van/ Taxi,Self,0,0,0,0,Car/ Jeep/ Van/ Taxi,1,1,32,Male,Driver,0,,,,,,32,Male,NR SANI MANDIR BAKKAR GARH MO,DANSHA ROAD,28.596238,76.888512,1,1,
931,4,KAPASHERA,05-Jan-20,18:40,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,BIJWASAN FLYOVER,BIJWASAN ROAD,28.533915,77.049566,0,1,Hit and run
932,88,KAPASHERA,10-Mar-20,13:40,Car/ Jeep/ Van/ Taxi,Self,0,0,1,1,,0,0,27,Male,Driver,,,,,,,,,NR SALVES FARM HOUSE,BIJWASAN ROAD,28.518996,77.07126,1,1,
933,305,KAPASHERA,03-Jun-20,20:00,UNKNOWN,TWW,0,0,0,1,,0,0,40,Male,Driver,,,,,,,,,NR CROWN EMPERIAL HOTEL,BIJWASAN ROAD,28.531506,77.085157,0,1,Hit and run
934,308,KAPASHERA,06-Jun-20,08:45,UNKNOWN,TWW,0,0,2,1,,0,0,,,,,,,,,,,,NR SUBHAM GARDEN,BIJWASAN ROAD,28.537484,77.039179,2,1,Hit and run
935,314,KAPASHERA,28-Jun-20,15:00,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,,,,,,,,,,,INF RELAXO SHOWROOM NR MUDHAL,OLD GURGAON ROAD,28.53453,77.090482,0,1,Hit and run
936,394,KAPASHERA,16-Aug-20,22:20,Motorised two wheeler,Self,0,1,1,0,,0,0,,,Pedestrian,,,,,,,56,Male,UPPAL HOTEL KAPASHERA,DWARAKA FLYOVER ROAD,28.536218,77.102434,1,1,
937,395,KAPASHERA,17-Aug-20,00:00,Heavy vehicles,TWW,0,0,0,1,,0,0,28,Male,Driver,,,,,,,,,PUSHPANJALI RED LIGHT DWARKA R,DWARAKA ROAD,28.537992,77.092498,0,1,
938,401,KAPASHERA,23-Aug-20,21:00,UNKNOWN,TWW,0,0,0,1,,0,0,37,Male,Driver,,,,,,,,,NR SHRI KUNJ FARM HOUSE,KAPASHERA ROAD,28.536204,77.102302,0,1,Hit and run
939,414,KAPASHERA,04-Sep-20,19:30,Motorised two wheeler,Pedestrians,0,0,1,1,,0,0,,,,,,,,,,,,NR PRAKASHPURI MANDIR,BIJWASAN ROAD,28.53791,77.037113,1,1,
940,462,KAPASHERA,15-Oct-20,02:46,UNKNOWN,Pedestrians,0,1,0,0,,0,0,32,Male,Pedestrian,,,,,,,,,NR MADINA HOTEL KAPASHERA,NH-8,28.517729,77.095384,0,1,Hit and run
941,475,KAPASHERA,28-Oct-20,05:38,UNKNOWN,Cyclists,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NR PNB BANK BIJWASAN,BIJWASAN ROAD,28.532925,77.055071,0,1,Hit and run
942,478,KAPASHERA,29-Oct-20,23:04,Motorised two wheeler,Self,0,0,1,1,,0,0,34,Male,Driver,,,,,,,,,V64 SHARMA FARM HOSUE BAMDOLI,MINOR ROADS,28.532469,77.032049,1,1,
943,483,KAPASHERA,01-Nov-20,20:30,Tempo/ Tractor,TWW,0,0,1,1,,0,0,,,,,,,,,,,Male,BAMNOLI CHOWK,BIJWASAN ROAD,28.538073,77.036367,1,1,
944,521,KAPASHERA,04-Dec-20,19:20,Heavy vehicles,TWW,0,1,0,1,Car/ Jeep/ Van/ Taxi,0,1,,Male,Driver,,,Pedestrian,,,Driver,,,NR HOTEL AIRPORT RESIDENCY,MINOR ROADS,28.536538,77.099491,0,3,Hit and run
945,76,MOHAN GARDEN,22-Jan-20,18:54,Motorised two wheeler,TWW,0,0,0,1,,0,0,43,Male,Driver,,,,,,,,,NR SHYAM BUILDER MOHAN GARDEN,MINOR ROADS,28.592789,77.022965,0,1,Hit and run
946,366,MOHAN GARDEN,08-May-20,01:00,Heavy Vehicles,TWW,0,0,2,1,,0,0,23,Male,Passenger,,,,,,,,Male,NR GANDA NALA NAJAFGARH ROAD,NAJAF GARH ROAD,28.629474,77.023661,2,1,
947,431,MOHAN GARDEN,08-Jun-20,19:05,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,,,1,Female,Pedestrian,,,,,,,,Male,"A-68, MOHAN GARDEN UTTAM NGR",MINOR ROADS,28.62032,77.041128,0,1,
948,578,MOHAN GARDEN,29-Jul-20,17:00,Tempo/ Tractor,Pedestrians,0,0,0,0,Tempo/ Tractor,0,1,,Male,Passenger,,,,,,,,Male,NR CHATT PUJA PARK,MINOR ROADS,28.62865666,77.02299806,0,1,
949,583,MOHAN GARDEN,30-Jul-20,22:20,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,KAKROLA NALA PICKET,MINOR ROADS,28.62865666,77.02299806,0,1,Hit and run
950,669,MOHAN GARDEN,18-Sep-20,20:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NR CHATH POJA PARK MOHAN GARDE,MINOR ROADS,28.604902,77.043399,0,1,Hit and run
951,134,NAJAFGARH,29-Feb-20,16:59,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,ARJUN PARK NAJAFGARH ROAD,NAJAF GARH ROAD,28.613245,76.997271,0,1,Hit and run
952,144,NAJAFGARH,07-Mar-20,00:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NR DELHI GATE NAJAFGARH,MINOR ROADS,28.612632,76.985845,0,1,Hit and run
953,996,NAJAFGARH,25-Dec-20,07:15,UNKNOWN,Pedestrians,0,1,0,0,,0,0,70,Female,Pedestrian,,,,,,,,,INF POWER HOUSE NR ST GARGIA S,MINOR ROADS,28.612632,76.985845,0,1,Hit and run
954,994,RANHOLA,,Unknown,Heavy vehicles,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,VIKAS KUNJ NR GANDA NALA ROAD,MINOR ROADS,28.646673,77.034151,0,1,
955,428,TILAK NAGAR,07-Jun-20,15:40,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,1,Female,Pedestrian,,,,,,,,Male,"WZ-106, PARKING MUKHARJI PARK",MINOR ROADS,28.643971,77.103042,0,1,
956,494,TILAK NAGAR,10-Jul-20,22:30,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,"NEAR PILAR NO, 499",NAJAF GARH ROAD,28.636947,77.096541,0,1,Hit and run
957,635,TILAK NAGAR,31-Aug-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,NR RED LIGHT,MINOR ROADS,28.636828,77.096407,0,1,Hit and run
958,641,TILAK NAGAR,04-Sep-20,10:00,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,"NR MERTO P.NO.565, NAJAFGARH R",NAJAF GARH ROAD,28.632652,77.085261,0,1,Hit and run
959,650,TILAK NAGAR,05-Sep-20,21:20,UNKNOWN,TWW,0,0,0,1,,0,0,,Female,Passenger,,,,,,,,,NR SAT MANJILA MANDIR T. NAGAR,MINOR ROADS,28.637315,77.097485,0,1,Hit and run
960,772,TILAK NAGAR,04-Nov-20,22:20,Motorised two wheeler,Pedestrians,0,1,1,0,,0,0,52,Male,Pedestrian,,,,,,,,Male,JANAKPURI EAST METRO STATION,NAJAF GARH ROAD,28.629376,77.07703,1,1,Drink and Drive
961,852,TILAK NAGAR,01-Dec-20,19:41,UNKNOWN,Pedestrians,0,0,0,1,,0,0,32,Female,Driver,,,,,,,,,B/W PILLER NO 565 AND 566,NAJAF GARH ROAD,28.632652,77.085261,0,1,Hit and run
962,150,UTTAM NAGAR,07-Mar-20,10:00,UNKNOWN,TWW,0,0,1,1,,0,0,,,,,,,,,,,,NR METRO PILLAR NO 661,NAJAF GARH ROAD,28.62341,77.061918,1,1,Hit and run
963,219,UTTAM NAGAR,31-Mar-20,02:45,Car/ Jeep/ Van/ Taxi,ERC,0,0,0,0,Car/ Jeep/ Van/ Taxi,1,1,40,Male,Passenger,,,,,,,,,NR METRO PILLARE NO 723,NAJAF GARH ROAD,28.63098,77.064151,1,1,
964,672,UTTAM NAGAR,21-Jul-20,18:20,Motorised two wheeler,Self,0,0,0,1,,0,0,20,Male,Driver,,,,,,,,,INF AYYAPA PARK NR LIG FLATS,MINOR ROADS,28.631769,77.06339,0,1,
965,686,UTTAM NAGAR,26-Jul-20,Unknown,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,NR BARKAT RAM HOSPITAL,MINOR ROADS,28.627349,77.059838,0,1,Hit and run
966,818,UTTAM NAGAR,26-Sep-20,18:00,UNKNOWN,Pedestrians,0,0,1,1,,0,0,,Male,,0,,,,,,,,NR JJ COLONY HASTAL,MINOR ROADS,28.642714,77.052896,1,1,Hit and run
967,896,UTTAM NAGAR,11-Nov-20,18:00,Heavy vehicles,Cyclists,0,0,0,0,Bicycle,0,1,35,Male,Cyclist,0,,,,,,,,SHIV VIHAR J J COLONY ROAD,MINOR ROADS,28.644303,77.052896,0,1,
968,1001,UTTAM NAGAR,19-Dec-20,08:30,Tempo/ Tractor,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,NR KALI BASTI UTTAM NGR TO KAL,MINOR ROADS,28.625124,77.065524,0,1,
969,1014,UTTAM NAGAR,25-Dec-20,23:15,UNKNOWN,TWW,0,0,0,1,,0,0,29,Male,Driver,0,,,,,,,,OPP METRO PILL NO 703,NAJAF GARH ROAD,28.620606,77.048546,0,1,Hit and run
970,131,VASANT KUNJ SOUTH,21-Feb-20,23:00,Heavy vehicles,TWW,0,0,0,1,,0,0,,Male,Driver,0,,,,,,,,"NR UMRAO, SERVICE LANE",NH-8,28.525001,77.100237,0,1,
971,416,VASANT KUNJ SOUTH,05-Jun-20,15:00,Tempo/ Tractor,TWW,0,0,0,1,,0,0,28,Male,Driver,0,,,,,,,Male,NR WESTERN GREEN FARM HOUSE,NH-8,28.537175,77.114954,0,1,
972,433,VASANT KUNJ SOUTH,24-Jun-20,07:00,UNKNOWN,TWW,0,0,0,1,,0,0,24,Female,Driver,0,,,,,,,,INF ORANA HOTEL,NH-8,28.529567,77.103749,0,1,Hit and run
973,464,VASANT KUNJ SOUTH,17-Jul-20,16:57,UNKNOWN,TWW,0,0,0,1,,0,0,27,Male,Driver,0,,,,,,,,NR IOC PUMP RAJOKARI,NH-8,28.533358,77.107259,0,1,Hit and run
974,467,VASANT KUNJ SOUTH,21-Jul-20,02:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,,RAJOUKARI FLYOVER TWDS GURUGRA,NH-8,28.522769,77.098993,0,1,Hit and run
975,479,VASANT KUNJ SOUTH,25-Jul-20,20:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,55,Male,Pedestrian,0,,,,,,,,NR RAJOUKARI FLYOVER,NH-8,28.521715,77.098318,0,1,Hit and run
976,567,VASANT KUNJ SOUTH,29-Aug-20,05:40,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,,TWDS RAJOKARI NR NIKUNJ,NH-8,28.528746,77.103385,0,1,Hit and run
977,579,VASANT KUNJ SOUTH,06-Sep-20,21:28,UNKNOWN,TWW,0,0,0,0,Cycle rickshaw,0,1,,Male,Cyclist,0,,,,,,,,INF NIKUNJ NATIONAL HIGHWAY,NH-8,28.528635,77.103107,0,1,Hit and run
978,673,VASANT KUNJ SOUTH,03-Nov-20,22:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,RAJOKARI FLY OVER,NH-8,28.510225,77.093232,0,1,Hit and run
979,5,VIKAS PURI,08-Jan-20,15:00,UNKNOWN,Pedestrians,0,0,1,1,,0,0,,,,,,,,,,,,"NR H-BLK, PETROL PUMP, VIKASPU",MINOR ROADS,28.649205,77.072696,1,1,Hit and run
980,62,VIKAS PURI,27-Jan-20,17:50,Bus,PAS,0,0,0,0,Bus,0,1,63,Male,Passenger,,,,,,,,,NR METRO PILLAR NO 586,NAJAF GARH ROAD,28.629306,77.076845,0,1,
981,275,VIKAS PURI,25-Apr-20,18:30,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,NR HANUMAN MANDIR INF KESHOPUR,OUTER RING ROAD,28.651647,77.04115,0,1,Hit and run
982,385,VIKAS PURI,22-May-20,04:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NR CHANDER VIHAR PICKET,MINOR ROADS,28.637955,77.060252,0,1,Hit and run
983,444,VIKAS PURI,06-Jun-20,21:30,Motorised two wheeler,Self,0,0,0,2,,0,0,23,Male,Driver,24,Male,Passenger,,,,,,OPP VIKAS KUNJ SOCIETY,OUTER RING ROAD,28.630332,77.079066,0,2,Hit and run
984,617,VIKAS PURI,01-Sep-20,22:38,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,NR AGGARWAL SWEETS VIKAPURI,MINOR ROADS,28.638567,77.077307,0,1,Hit and run
985,782,VIKAS PURI,13-Dec-20,02:00,Car/ Jeep/ Van/ Taxi,Car,0,0,0,0,Car/ Jeep/ Van/ Taxi,1,1,35,Male,Driver,,,,,,,,,INF BHUPENDRA SINGH NGR ELEVAT,OUTER RING ROAD,28.637611,77.181807,1,1,
986,188,ANAND PARBAT,06-Aug-20,22:46,Heavy vehicles,TWW,0,0,0,2,,0,0,18,Male,Driver,20,Male,Driver,,,,,Male,T- POINT RAM DHARM KANTA,MINOR ROADS,28.663255,77.171663,0,2,
987,358,ANAND PARBAT,01-Dec-20,04:30,UNKNOWN,TWW,0,0,0,1,,0,0,26,Male,Driver,0,,,,,,,,INF GALI NO 12 JHAKIRA FLYOVER,NEW ROHTAK ROAD,28.663486,77.180433,0,1,Hit and run
988,911,BABA HARIDAS NAGAR,31-Oct-20,22:39,UNKNOWN,TWW,0,0,0,1,,0,0,30,Male,Driver,0,,,,,,,,NELVAD MOR DICHAU KALA GAV KE,NAJAFGARH NANGLOI RD,28.66349,76.976677,0,1,Hit and run
989,665,BINDA PUR,21-Jun-20,22:30,Car/ Jeep/ Van/ Taxi,Pedestrians,1,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,Male,A 24 PRATAP GARDEN BINDAPUR UN,MINOR ROADS,28.611842,77.069273,1,1,
990,1039,BINDA PUR,31-Oct-20,12:45,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,23,Male,Pedestrian,0,,,,,,,,H NO 438 GALI NO 12 MATIALA UN,MINOR ROADS,28.606398,77.054492,0,1,
991,84,DABRI,28-Jan-20,12:00,Bus,TWW,0,0,0,1,,0,0,,Male,Driver,0,,,,,,,Male,NR SULABH SOCHALAYA,MINOR ROADS,28.611331,77.084537,0,1,
992,531,DABRI,18-Jun-20,01:57,UNKNOWN,TWW,0,0,0,1,,0,0,40,Male,,0,,,,,,,,MAHAVIR ENCLAVE NR ROBIN ECO,MINOR ROADS,28.605622,77.07323,0,1,Hit and run
993,577,DABRI,06-Jul-20,13:20,UNKNOWN,Pedestrians,0,1,0,0,,0,0,50,Female,Pedestrian,0,,,,,,,,GALI NO 2 MAIN DABRI ROAD,DABRI-NASIRPUR ROAD,28.608302,77.906684,0,1,Hit and run
994,599,DABRI,09-Jul-20,22:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,50,Male,Pedestrian,0,,,,,,,,CHHAT POOJA PARK DABRI,MINOR ROADS,28.6113,77.087041,0,1,Hit and run
995,3,DELHI CANNT,05-Jan-20,00:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,25,Male,Pedestrian,0,,,,,,,,NR SUBWAY RING RD,RING ROAD,28.609061,77.139773,0,1,Hit and run
996,43,DELHI CANNT,06-Feb-20,12:30,Car/ Jeep/ Van/ Taxi,Pedestrians,3,1,0,0,,0,0,45,Female,Pedestrian,0,,,,,,,Male,METRO PILLER NO 51-52,RING ROAD,28.599169,77.16243,3,1,
997,365,DELHI CANNT,13-Sep-20,12:00,Motorised two wheeler,Self,0,0,1,1,,0,0,,Female,Passenger,0,,,,,,,,METRO PILL NO 65 DELHI CANTT,RING ROAD,28.599636,77.161937,1,1,
