Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
05-Sep-22,01:42 PM,2427,1558,MTW - Motorcycle Light,Unknown,DL 11SY 6303,,,,,,,,,,,
05-Sep-22,01:42 PM,2428,1558,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2429,1559,Three Wheeler - Passenger,Not Applicable,DL 1RP 2968,,,,,,,,,,,
05-Sep-22,01:42 PM,2430,1560,MTW - Motorcycle Light,"Car - SUV, Passenger",DL 8SBL 9923,,,,,,,,,,,
05-Sep-22,01:42 PM,2431,1560,"Car - SUV, Passenger",MTW - Motorcycle Light,DL 1CZ 9565,,,,,,,,,,,
05-Sep-22,01:42 PM,2432,1561,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2433,1562,MTW - Motorcycle Light,Intermediate Commercial Vehicle,UP 32AA 6550,,,,,,,,,,,
05-Sep-22,01:42 PM,2434,1562,Intermediate Commercial Vehicle,MTW - Motorcycle Light,DL 1LW 6538,,,,,,,,,,,
05-Sep-22,01:42 PM,2435,1563,MTW - Motorcycle Light,Two_Axle Heavy Commercial Vehicle,,,,,,,,,,,,
05-Sep-22,01:42 PM,2436,1563,Two_Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,UP 12AT 9870,,,,,,,,,,,
05-Sep-22,01:42 PM,2437,1564,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2438,1565,MTW - Motorcycle Light,Unknown,DL 11SB 8924,,,,,,,,,,,
05-Sep-22,01:42 PM,2439,1565,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2440,1566,MTW - Motorcycle Light,Unknown,DL 8SBD 5961,,,,,,,,,,,
05-Sep-22,01:42 PM,2441,1566,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2442,1567,Tractor with Trailer,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2443,1567,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2444,1569,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2445,1570,"Car - Jeep, Passenger",Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2446,1571,MTW - Motorcycle Light,Car - Passenger,DL 4SCT 1649,,,,,,,,,,,
05-Sep-22,01:42 PM,2447,1571,Car - Passenger,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2448,1572,MTW - Scooter/Moped,Unknown,,,,,,,,,,,,
05-Sep-22,01:42 PM,2449,1573,MTW - Motorcycle Light,Two-Axle Medium Commercial Vehicle,DL 8SAW 3825,,,,,,,,,,,
05-Sep-22,01:42 PM,2450,1573,Two-Axle Medium Commercial Vehicle,MTW - Motorcycle Light,DL 1B 0240,,,,,,,,,,,
05-Sep-22,01:42 PM,2451,1574,MTW - Motorcycle Light,Pedestrian,DL 11SP 0988,,,,,,,,,,,
05-Sep-22,01:42 PM,2452,1575,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2453,1576,MTW - Motorcycle Light,Unknown,DL 4SCL 0673,,,,,,,,,,,
05-Sep-22,01:42 PM,2454,1576,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2455,1577,Car - Passenger,Unknown,HR 02AD 5367,,,,,,,,,,,
05-Sep-22,01:42 PM,2456,1577,Unknown,Car - Passenger,,,,,,,,,,,,
05-Sep-22,01:42 PM,2457,1578,MTW - Scooter/Moped,Unknown,HR 14M 4905,,,,,,,,,,,
05-Sep-22,01:42 PM,2458,1578,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2459,1579,MTW - Scooter/Moped,Bus,DL 8SCC 9375,,,,,,,,,,,
05-Sep-22,01:42 PM,2460,1579,Bus,MTW - Scooter/Moped,HR 62 9677,,,,,,,,,,,
